0,=,isExperienceEligible,years_occurrence,link
45,Golang Python Developer,False,['i> 3 to 5 years'],https://in.indeed.com/rc/clk?jk=578a85c5cbfd9417&bb=r820id3QNfmI5hRBkXczM8eW0GtmOw2QJWjXJE8H9RTcNbW31DI7CaxSjN9vg0BkM36lWMXrNz-s8GvZStXQ9eWFONb3xf9jOwHfTSS4cU0%3D&xkcb=SoDK67M3FA0SquwFm50FbzkdCdPP&fccid=4faf342d2307e9ed&vjs=3
46,Full Stack Developer,False,"['ngular: 7 years', 'l work: 6 years', 'i>java: 7 years']",https://in.indeed.com/rc/clk?jk=e24a090e22b6454b&bb=OBS4xZknag58h_sncVxiudRcvfzTK5PcdpAu45TCayUBRhfseqTr_GsExjSgIVKS635IrrPuTW2shI62vFSks_gLVazFbYvgw-VZz8oiJmc%3D&xkcb=SoDv67M3FA0scIgMJL0LbzkdCdPP&fccid=2af3f918a6dfefbe&cmp=Techinfolabs&ti=Full+Stack+Developer&vjs=3
47,Senior Full Stack Developer,False,"['l> <li>3+ years', 'l work: 3 years']",https://in.indeed.com/rc/clk?jk=490c7dc446790bfc&bb=OBS4xZknag58h_sncVxiuXDBCCjm4P1sL2pG9jVqFiVT2SHBpyJZpnkjKLpfqQo3Oy3faPDlcJIhlUVysPQEj39iOrSVq2QiihfAxxmX-uc%3D&xkcb=SoBb67M3FA0scIgMJL0KbzkdCdPP&fccid=252a663c3d9835fd&cmp=OFS-ta-Tidal-Vape&ti=Full+Stack+Developer&vjs=3
48,Senior Software Engineer,False,"['> <li> 5+ years', 'dditional years']",https://in.indeed.com/rc/clk?jk=e8d0d3b6ad6c2669&bb=OBS4xZknag58h_sncVxiuZdwZmyep1sG4xamZzwm2PeP26SfDoC3e_qEX0zGxphP_M9rDoFZulmxJolBNxpQu2vD29fGFUxS1PHG7KRrFSg%3D&xkcb=SoDG67M3FA0scIgMJL0JbzkdCdPP&fccid=734cb5a01ee60f80&vjs=3
49,Oracle Hyperion Financial Management (HFM)-Application Developer,False,['ce of 5-6 years'],https://in.indeed.com/rc/clk?jk=31c7d41dc0917888&bb=OBS4xZknag58h_sncVxiuebS5EdOEVfkqFNFmxF3Ux1EUcJTOaO_9v1Z8oWZ2HrL1jhy94DgFgM7ki-hCLcAjQaBOJxDXmK5A9GxDjkI3dk%3D&xkcb=SoBy67M3FA0scIgMJL0IbzkdCdPP&fccid=a4e4e2eaf26690c9&vjs=3
50,Databricks Unified Data Analytics Platform-Application Developer,True,[],https://in.indeed.com/rc/clk?jk=dbe0569471f4968a&bb=OBS4xZknag58h_sncVxiuZa6Canq0et08_xOG_yDmuDPWcdmxzJhI4B1Ym69blfsXJJ1Rm-JrdA6_fTtBYZqeVqL1ywPCYyxFu_KIDdcgNI%3D&xkcb=SoD867M3FA0scIgMJL0PbzkdCdPP&fccid=a4e4e2eaf26690c9&vjs=3
51,Oracle Siebel Development-Application Developer,False,"['inimum 15 years', 'minimum 4 years']",https://in.indeed.com/rc/clk?jk=53d9af4c6ccbc68a&bb=OBS4xZknag58h_sncVxiuZOcxAdpNDyoXYwwESDWF3drYWNMiOylh851zPgUAgbXyNeq7SKtQ8s4zNtRMBIQ6Dm_oKhBQPYX4efuRN9E0a0%3D&xkcb=SoBI67M3FA0scIgMJL0ObzkdCdPP&fccid=a4e4e2eaf26690c9&vjs=3
52,Backend Developer (NodeJS/Restful API),True,[' <li> 0-2 years'],https://in.indeed.com/rc/clk?jk=65da94de6ffce4e9&bb=OBS4xZknag58h_sncVxiuUHZasbs1cbc3iztmR65NC42TcT8NR7V1LZYHT6OclV4-g6MPZ33_Py5NILQU0sXKjAjrDgq7cBbjr4tnM12tTE%3D&xkcb=SoDV67M3FA0scIgMJL0NbzkdCdPP&fccid=683f563b5cc25b70&vjs=3
53,Senior Software Engineer - Python,False,"['strong 6+ years', 'around 6+ years']",https://in.indeed.com/rc/clk?jk=e58be710d0610292&bb=OBS4xZknag58h_sncVxiueesjCUDxku1HFeGCqTql2BKDeUZD8HlFj7BdmMuot5NNsFMuD2nTom36aalpWx3kJDVpggdyZ5WZIe_HNu7gYw%3D&xkcb=SoBh67M3FA0scIgMJL0MbzkdCdPP&fccid=48338f040b64f353&vjs=3
54,Sr Principal Software Developer,False,['re than 8 years'],https://in.indeed.com/rc/clk?jk=45e8fad8df381e78&bb=OBS4xZknag58h_sncVxiuabCviRyErvh7phbzV8velyesFfQmciNkiJo9XjI0IS1arXd-YUnNP19sAtZUuDjnRyy8OGO2jMfrjueiJIIkeU%3D&xkcb=SoCI67M3FA0scIgMJL0DbzkdCdPP&fccid=cd22d01053af7669&vjs=3
